Language ,Tool ,Equivalent Mutants,Cost Reduction,Mutation Operators,v1,v5,,,,,,,,,,,,,
statement deletion,statement deletion ,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N
method call,method call ,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N
return statement,return statement ,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N
if statement,if statement,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N
exception handler,exception handler ,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N
goto label,goto label ,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N
Control-flow disruption,control-flow disruption ,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N
statement swap,statement swap ,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N
bomb statement,bomb statement ,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N
switch statement,switch statement ,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N
do statement,do statement ,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N
brace,brace ,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N
loop trap,loop trap ,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N
while statement,while statement ,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N
OO-specific,OO-specific ,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N
Java-specific,Java-specific ,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N
SQL-specific,SQL-specific ,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N
JS-specific,JavaScript-specific ,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N,\cellcolor{red}N
AOP-specific,AOP-specific,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{red}N,\cellcolor{green}Y,\cellcolor{red}N
